,site,sales,period_of_day,headcount
90,site1,238.1335386425838,morning,2.0
91,site1,251.71501041584048,morning,3.0
92,site1,246.84926102196,morning,2.0
93,site1,234.5438411559801,morning,2.0
94,site1,258.48791306820726,morning,3.0
95,site1,257.74773363009797,morning,3.0
96,site1,243.918236103482,morning,2.0
97,site1,240.1886971971136,morning,2.0
98,site1,240.40941953422708,morning,2.0
99,site1,333.41117747836137,morning,4.0
100,site1,248.830237091661,morning,2.0
101,site1,256.03689838677565,morning,3.0
102,site1,242.14987448601636,morning,2.0
103,site1,241.38319097571906,morning,2.0
104,site1,243.30433732711438,morning,2.0
105,site1,252.75379059853077,morning,3.0
106,site1,255.389731115486,morning,3.0
107,site1,244.30247875930814,morning,2.0
108,site1,246.4341578224427,morning,2.0
109,site1,244.07222191554703,morning,2.0
110,site1,257.86286983815666,morning,3.0
111,site1,246.8658261152058,morning,2.0
112,site1,261.44474220892516,morning,3.0
113,site1,230.7464387112957,morning,2.0
114,site1,242.35192998214816,morning,2.0
115,site1,250.32613701376818,morning,3.0
116,site1,236.80102596825895,morning,2.0
117,site1,248.81784441763153,morning,2.0
118,site1,232.3201839620729,morning,2.0
119,site1,254.36528801776927,morning,3.0
120,site1,249.91998327526258,morning,3.0
121,site1,239.22362000556967,morning,2.0
122,site1,257.599719268496,morning,3.0
123,site1,237.81185755058218,morning,2.0
124,site1,241.7763347694832,morning,2.0
125,site1,257.5806713381161,morning,3.0
126,site1,245.0282514090311,morning,2.0
127,site1,252.93394909130419,morning,3.0
128,site1,252.80010558007845,morning,3.0
129,site1,261.5625918775408,morning,3.0
130,site1,249.7384441577071,morning,3.0
131,site1,237.63212366375313,morning,2.0
132,site1,246.41981894007742,morning,2.0
133,site1,258.8215145472722,morning,3.0
134,site1,251.87114468371036,morning,3.0
135,site1,247.40447416185717,morning,2.0
136,site1,244.08845834166516,morning,2.0
137,site1,254.74833607149495,morning,3.0
138,site1,246.3590721892076,morning,2.0
139,site1,247.98535825374717,morning,2.0
140,site1,255.25659164934942,morning,3.0
141,site1,250.60074093762,morning,3.0
142,site1,252.75089130489033,morning,3.0
143,site1,238.43988418829463,morning,2.0
144,site1,239.33921517185286,morning,2.0
145,site1,247.3727482484565,morning,2.0
146,site1,239.35790639721185,morning,2.0
147,site1,232.0102060429449,morning,2.0
148,site1,226.7873491346429,morning,2.0
149,site1,250.09836665886573,morning,3.0
150,site1,236.88782852578552,morning,2.0
151,site1,246.35997997803003,morning,2.0
152,site1,259.2121645788024,morning,3.0
153,site1,250.06604643925286,morning,3.0
154,site1,249.16757947409675,morning,2.0
155,site1,251.2896835967191,morning,3.0
156,site1,259.9232388641275,morning,3.0
157,site1,224.95263395766133,morning,2.0
158,site1,342.70705156751137,morning,4.0
159,site1,230.0064472670127,morning,2.0
160,site1,235.19111931221542,morning,2.0
161,site1,260.0896190571336,morning,3.0
162,site1,253.25658224156624,morning,3.0
163,site1,258.6534074502477,morning,3.0
164,site1,243.98468777514964,morning,2.0
165,site1,337.133429996088,morning,4.0
166,site1,241.86571442908618,morning,2.0
167,site1,249.93215401540672,morning,3.0
168,site1,332.739150460605,morning,4.0
169,site1,337.1700467460538,morning,4.0
170,site1,253.48699564126977,morning,3.0
171,site1,247.08185458703218,morning,2.0
172,site1,244.16355034345747,morning,2.0
173,site1,244.29979539372275,morning,2.0
174,site1,235.88507730331523,morning,2.0
175,site1,249.43165015250693,morning,3.0
176,site1,258.86218003231124,morning,3.0
177,site1,256.204106087291,morning,3.0
178,site1,247.86295616598758,morning,2.0
179,site1,257.02131728421443,morning,3.0
180,site1,244.2517105354156,morning,2.0
181,site1,236.01373047564124,morning,2.0
182,site1,248.51122953352416,morning,2.0
183,site1,260.99014512563036,morning,3.0
184,site1,334.50969598203983,morning,4.0
185,site1,243.82451560684643,morning,2.0
186,site1,243.4314019256709,morning,2.0
187,site1,257.3745175125426,morning,3.0
188,site1,261.13706202512117,morning,3.0
189,site1,247.23789111271154,morning,2.0
190,site1,337.14215867963554,morning,4.0
191,site1,253.28016715759517,morning,3.0
192,site1,247.1003175030248,morning,2.0
193,site1,250.9074153900973,morning,3.0
194,site1,244.36983081141437,morning,2.0
195,site1,242.8343922401528,morning,2.0
196,site1,247.06657480706002,morning,2.0
197,site1,237.30675935532813,morning,2.0
198,site1,238.35206499780188,morning,2.0
199,site1,255.6886688899988,morning,3.0
200,site1,252.03245408329815,morning,3.0
201,site1,241.10582615356634,morning,2.0
202,site1,261.0365824140443,morning,3.0
203,site1,255.46115505667555,morning,3.0
204,site1,254.45045114049833,morning,3.0
205,site1,254.23740637990264,morning,3.0
206,site1,245.36325405877326,morning,2.0
207,site1,234.58717617972596,morning,2.0
208,site1,251.3927192205186,morning,3.0
209,site1,249.72267768710103,morning,3.0
210,site1,254.23460917837699,morning,3.0
211,site1,237.66823796147898,morning,2.0
212,site1,259.5280902117475,morning,3.0
213,site1,245.95051932743013,morning,2.0
214,site1,238.1438911570824,morning,2.0
215,site1,242.66628328244752,morning,2.0
216,site1,252.94594714184302,morning,3.0
217,site1,337.37035960773545,morning,4.0
218,site1,247.3429958233191,morning,2.0
219,site1,242.61791104090585,morning,2.0
220,site1,260.4615843195572,morning,3.0
221,site1,252.72135788602765,morning,3.0
222,site1,334.29229631146205,morning,4.0
223,site1,258.4389584233245,morning,3.0
224,site1,248.39218622052027,morning,2.0
225,site1,239.7415451760603,morning,2.0
226,site1,254.40185507545831,morning,3.0
227,site1,248.77336137470638,morning,2.0
228,site1,261.11326746803866,morning,3.0
229,site1,337.9381058369923,morning,4.0
230,site1,248.4692041311826,morning,2.0
231,site1,240.45373192895417,morning,2.0
232,site1,245.66221735031166,morning,2.0
233,site1,253.38192758874783,morning,3.0
234,site1,258.8529500792288,morning,3.0
235,site1,257.90362326802676,morning,3.0
236,site1,257.818307743582,morning,3.0
237,site1,248.01762891090925,morning,2.0
238,site1,248.07832884804492,morning,2.0
239,site1,238.1512211191265,morning,2.0
240,site1,241.5697397785647,morning,2.0
241,site1,241.7341471834512,morning,2.0
242,site1,242.2890869995348,morning,2.0
243,site1,334.292943848153,morning,4.0
244,site1,241.52238627796953,morning,2.0
245,site1,259.1702294397506,morning,3.0
246,site1,249.04386279227646,morning,2.0
247,site1,247.7655258122316,morning,2.0
248,site1,243.71612595984197,morning,2.0
249,site1,254.52947567183622,morning,3.0
250,site1,344.1878739562086,morning,4.0
251,site1,253.37163984806006,morning,3.0
252,site1,253.3622430824948,morning,3.0
253,site1,239.43044202339752,morning,2.0
254,site1,255.13216069732408,morning,3.0
255,site1,244.2098168443151,morning,2.0
256,site1,252.4967192383548,morning,3.0
257,site1,241.80710560142032,morning,2.0
258,site1,256.18330770871364,morning,3.0
259,site1,227.077479366444,morning,2.0
260,site1,255.0393823580788,morning,3.0
261,site1,251.12921502936794,morning,3.0
262,site1,240.61486795974852,morning,2.0
263,site1,253.3570414049193,morning,3.0
264,site1,245.63001207722368,morning,2.0
265,site1,260.7193298497366,morning,3.0
266,site1,240.87693159724193,morning,2.0
267,site1,258.0911783021529,morning,3.0
268,site1,232.32475661717928,morning,2.0
269,site1,239.0898651779098,morning,2.0
270,site1,245.1440590115818,morning,2.0
271,site1,245.06826737606747,morning,2.0
272,site1,260.1916317177278,morning,3.0
273,site1,232.73185689349958,morning,2.0
274,site1,253.07340385679666,morning,3.0
275,site1,252.1942952458969,morning,3.0
276,site1,338.4640695733352,morning,4.0
277,site1,257.05106433638696,morning,3.0
278,site1,245.0907626550244,morning,2.0
279,site1,245.64011924160425,morning,2.0
280,site1,248.3804332187163,morning,2.0
281,site1,244.1256034847539,morning,2.0
282,site1,258.2994030061551,morning,3.0
283,site1,233.89057303745093,morning,2.0
284,site1,339.7622566363013,morning,4.0
285,site1,239.45541499128495,morning,2.0
286,site1,243.29276513263721,morning,2.0
287,site1,237.92211953995698,morning,2.0
288,site1,332.6430204388618,morning,4.0
289,site1,254.2407011253326,morning,3.0
290,site1,253.8820203376803,morning,3.0
291,site1,241.6912036915575,morning,2.0
292,site1,246.92965033799348,morning,2.0
293,site1,243.56345917796034,morning,2.0
294,site1,252.7780674691131,morning,3.0
295,site1,246.48171654961922,morning,2.0
296,site1,247.57855437027249,morning,2.0
297,site1,258.53755608715784,morning,3.0
298,site1,235.40847340067026,morning,2.0
299,site1,245.23443428788204,morning,2.0
300,site1,254.2167581115021,morning,3.0
301,site1,254.60823154451361,morning,3.0
302,site1,245.99624796778002,morning,2.0
303,site1,255.53257733745525,morning,3.0
304,site1,239.93707959076593,morning,2.0
305,site1,236.00434980070617,morning,2.0
306,site1,252.9300630671507,morning,3.0
307,site1,256.5438200821535,morning,3.0
308,site1,338.2954491676097,morning,4.0
309,site1,244.34439930928903,morning,2.0
310,site1,242.92860113428006,morning,2.0
311,site1,248.9013429247202,morning,2.0
312,site1,251.30514037362866,morning,3.0
313,site1,256.7647687713193,morning,3.0
314,site1,332.6157924847846,morning,4.0
315,site1,333.4344376840447,morning,4.0
316,site1,236.84914977985042,morning,2.0
317,site1,257.03878401072143,morning,3.0
318,site1,260.31404686430875,morning,3.0
319,site1,258.5238682062727,morning,3.0
320,site1,258.3714480646942,morning,3.0
321,site1,235.5501691629647,morning,2.0
322,site1,237.7476482126554,morning,2.0
323,site1,253.28000362790348,morning,3.0
324,site1,251.36753479803727,morning,3.0
325,site1,342.9852656028837,morning,4.0
326,site1,251.47934521469932,morning,3.0
327,site1,246.31875911339338,morning,2.0
328,site1,248.3924660875261,morning,2.0
329,site1,261.3899227543213,morning,3.0
330,site1,240.39539479350432,morning,2.0
331,site1,247.14855503012222,morning,2.0
332,site1,252.38422667253877,morning,3.0
333,site1,251.69973964356325,morning,3.0
334,site1,244.27067026734267,morning,2.0
335,site1,248.71462380927954,morning,2.0
336,site1,240.63075294330002,morning,2.0
337,site1,229.41594245038874,morning,2.0
338,site1,241.3908153202688,morning,2.0
339,site1,254.42720723818798,morning,3.0
340,site1,333.1649020143079,morning,4.0
341,site1,253.5973768094598,morning,3.0
342,site1,256.52113840046826,morning,3.0
343,site1,338.3493336108876,morning,4.0
344,site1,243.29006949107946,morning,2.0
345,site1,252.49410807806558,morning,3.0
346,site1,234.55124453289065,morning,2.0
347,site1,238.1654892185371,morning,2.0
348,site1,257.1526309468039,morning,3.0
349,site1,242.79378714885453,morning,2.0
350,site1,333.2946838276805,morning,4.0
351,site1,245.40227077842906,morning,2.0
352,site1,245.0306106566087,morning,2.0
353,site1,256.897104966084,morning,3.0
354,site1,244.56140722008436,morning,2.0
355,site1,245.23328337291503,morning,2.0
356,site1,225.52174451838596,morning,2.0
357,site1,241.05218201305613,morning,2.0
358,site1,249.29504514177228,morning,2.0
359,site1,245.90861897809094,morning,2.0
360,site1,337.0994085529654,morning,4.0
361,site1,239.95129935110918,morning,2.0
362,site1,237.6494734424377,morning,2.0
363,site1,251.20868942209182,morning,3.0
364,site1,256.79048246948594,morning,3.0
365,site1,260.00447822915254,morning,3.0
366,site1,242.43436994512746,morning,2.0
367,site1,242.77124014788726,morning,2.0
368,site1,253.7254953562232,morning,3.0
369,site1,245.94840822527715,morning,2.0
370,site1,258.5686668581918,morning,3.0
371,site1,254.6006352977044,morning,3.0
372,site1,257.5002214271348,morning,3.0
373,site1,247.98222619283374,morning,2.0
374,site1,343.3103587202687,morning,4.0
375,site1,333.0466207996874,morning,4.0
376,site1,256.65912009792515,morning,3.0
377,site1,252.12802506585015,morning,3.0
378,site1,255.59021999712627,morning,3.0
379,site1,248.4021215669588,morning,2.0
380,site1,240.9049720256791,morning,2.0
381,site1,252.11901365643854,morning,3.0
382,site1,253.55376169592301,morning,3.0
383,site1,345.6291003481028,morning,5.0
384,site1,233.23317937818715,morning,2.0
385,site1,238.9860466411041,morning,2.0
386,site1,243.732700981433,morning,2.0
387,site1,252.34085370552364,morning,3.0
388,site1,251.7855333576139,morning,3.0
389,site1,250.81855864127843,morning,3.0
390,site1,243.71331150412604,morning,2.0
391,site1,252.83322548530606,morning,3.0
392,site1,238.35744241307924,morning,2.0
393,site1,339.0260131093159,morning,4.0
394,site1,254.17939382909705,morning,3.0
395,site1,255.0259166269721,morning,3.0
396,site1,242.66439442207846,morning,2.0
397,site1,243.6947835296913,morning,2.0
398,site1,257.3021331803069,morning,3.0
399,site1,250.59647552194534,morning,3.0
400,site1,253.62096190085563,morning,3.0
401,site1,249.48990588734,morning,3.0
402,site1,335.15758305817883,morning,4.0
403,site1,332.62593245124106,morning,4.0
404,site1,247.3552851155862,morning,2.0
405,site1,250.80384780012898,morning,3.0
406,site1,232.2461803868321,morning,2.0
407,site1,244.5088005740208,morning,2.0
408,site1,241.93090938403608,morning,2.0
409,site1,257.51211006076704,morning,3.0
410,site1,249.55225878799197,morning,3.0
411,site1,233.4381999649901,morning,2.0
412,site1,232.04900709643374,morning,2.0
413,site1,334.7989273696009,morning,4.0
414,site1,248.32071434941804,morning,2.0
415,site1,240.19386180163593,morning,2.0
416,site1,258.75379210383466,morning,3.0
417,site1,237.7007877828124,morning,2.0
418,site1,244.7751651639553,morning,2.0
419,site1,335.3159461810998,morning,4.0
420,site1,224.0908136758492,morning,2.0
421,site1,254.4375043072817,morning,3.0
422,site1,260.88958037050054,morning,3.0
423,site1,245.4019592631699,morning,2.0
424,site1,336.418863380004,morning,4.0
425,site1,339.4408790795048,morning,4.0
426,site1,253.70783279557762,morning,3.0
427,site1,241.33665787394307,morning,2.0
428,site1,240.8945768766621,morning,2.0
429,site1,334.5488482855793,morning,4.0
430,site1,257.3943408275061,morning,3.0
431,site1,244.95531426566004,morning,2.0
432,site1,257.5587693869671,morning,3.0
433,site1,239.11033126956684,morning,2.0
434,site1,333.223786398279,morning,4.0
435,site1,249.0420117075801,morning,2.0
436,site1,333.309538672599,morning,4.0
437,site1,253.7639988708358,morning,3.0
438,site1,234.58723042446775,morning,2.0
439,site1,245.924817963295,morning,2.0
440,site1,228.1857726510964,morning,2.0
441,site1,244.81953777030117,morning,2.0
442,site1,252.9577284923101,morning,3.0
443,site1,241.19132545411185,morning,2.0
444,site1,238.0843300587892,morning,2.0
445,site1,258.51031757852695,morning,3.0
446,site1,223.2952915712589,morning,2.0
447,site1,257.03617132542854,morning,3.0
448,site1,239.60001610013381,morning,2.0
449,site1,255.95763108925135,morning,3.0
450,site1,240.87144185386174,morning,2.0
451,site1,258.1192145596559,morning,3.0
452,site1,244.68065179663353,morning,2.0
453,site1,259.87471886114383,morning,3.0
454,site1,257.4880642874979,morning,3.0
455,site1,252.23638494304203,morning,3.0
456,site1,242.96369658953006,morning,2.0
457,site1,346.58405952001254,morning,5.0
458,site1,259.92839354141444,morning,3.0
459,site1,232.34787179705074,morning,2.0
460,site1,260.7782933278717,morning,3.0
461,site1,341.57559804850143,morning,4.0
462,site1,244.7965229096627,morning,2.0
463,site1,239.0860897898975,morning,2.0
464,site1,246.35597003738874,morning,2.0
465,site1,247.13802935918685,morning,2.0
466,site1,252.77133354442907,morning,3.0
467,site1,242.90771189883685,morning,2.0
468,site1,337.6910239762293,morning,4.0
469,site1,338.78065582699315,morning,4.0
470,site1,244.1565123047947,morning,2.0
471,site1,234.74473496162597,morning,2.0
472,site1,240.52832200880977,morning,2.0
473,site1,258.9604714471885,morning,3.0
474,site1,246.3770345345018,morning,2.0
475,site1,225.53309752794985,morning,2.0
476,site1,256.3414660586734,morning,3.0
477,site1,241.50186620915855,morning,2.0
478,site1,244.08386953354434,morning,2.0
479,site1,232.85009081551232,morning,2.0
480,site1,252.00506564612118,morning,3.0
481,site1,242.35317399462784,morning,2.0
482,site1,248.00904826088401,morning,2.0
483,site1,253.5795533647144,morning,3.0
484,site1,234.7201561158824,morning,2.0
485,site1,257.9589222127343,morning,3.0
486,site1,255.7408980131199,morning,3.0
487,site1,261.1616810793637,morning,3.0
488,site1,251.18278550217934,morning,3.0
489,site1,255.68327404512345,morning,3.0
490,site1,238.9574611150291,morning,2.0
491,site1,247.2321335536661,morning,2.0
492,site1,260.38200014676687,morning,3.0
493,site1,256.06259313387744,morning,3.0
494,site1,249.6349389517927,morning,3.0
495,site1,228.73321446959514,morning,2.0
496,site1,254.27760701130057,morning,3.0
497,site1,334.55707616458153,morning,4.0
498,site1,257.6679529682584,morning,3.0
499,site1,246.68415255170152,morning,2.0
500,site1,334.7588277114824,morning,4.0
501,site1,257.52391891317916,morning,3.0
502,site1,228.49416849161253,morning,2.0
503,site1,246.321305834589,morning,2.0
504,site1,246.37228361060886,morning,2.0
505,site1,333.6432308032289,morning,4.0
506,site1,232.73465020717626,morning,2.0
507,site1,237.86226918883403,morning,2.0
508,site1,341.0842380882516,morning,4.0
509,site1,255.71385130248973,morning,3.0
510,site1,256.77855152450644,morning,3.0
511,site1,251.4701398417391,morning,3.0
512,site1,237.86033115497142,morning,2.0
513,site1,346.010966153606,morning,5.0
514,site1,244.9878195478797,morning,2.0
515,site1,243.87262027836073,morning,2.0
516,site1,245.511406201569,morning,2.0
517,site1,256.4528813300849,morning,3.0
518,site1,236.9140970900429,morning,2.0
519,site1,237.2696928261548,morning,2.0
520,site1,255.9509787204737,morning,3.0
521,site1,247.89245767072333,morning,2.0
522,site1,253.29559924312647,morning,3.0
523,site1,231.21224545530214,morning,2.0
524,site1,253.3254376767364,morning,3.0
525,site1,256.56178501823416,morning,3.0
526,site1,334.24343198767434,morning,4.0
527,site1,256.39983563124224,morning,3.0
528,site1,259.99639625781106,morning,3.0
529,site1,254.84171649549845,morning,3.0
530,site1,335.76195463383107,morning,4.0
531,site1,254.39095643382745,morning,3.0
532,site1,239.21833090417272,morning,2.0
533,site1,237.27648723670208,morning,2.0
534,site1,243.37230967478376,morning,2.0
535,site1,255.22794708717836,morning,3.0
536,site1,249.9749506045634,morning,3.0
537,site1,246.81728348254754,morning,2.0
538,site1,248.92833656363152,morning,2.0
539,site1,238.54952906396636,morning,2.0
540,site1,245.89726113801905,morning,2.0
541,site1,257.272218548838,morning,3.0
542,site1,250.97398502864212,morning,3.0
543,site1,232.4569222951871,morning,2.0
544,site1,243.96873355093916,morning,2.0
545,site1,251.0643930743463,morning,3.0
546,site1,251.97713556035197,morning,3.0
547,site1,234.4719538774896,morning,2.0
548,site1,243.6570683605619,morning,2.0
549,site1,249.86210886595907,morning,3.0
550,site1,343.2641903134193,morning,4.0
551,site1,256.6960300261385,morning,3.0
552,site1,336.8020645643077,morning,4.0
553,site1,246.93142341990293,morning,2.0
554,site1,334.9553950717606,morning,4.0
555,site1,333.2216256121083,morning,4.0
556,site1,247.35095929279942,morning,2.0
557,site1,229.12253443311732,morning,2.0
558,site1,243.32121924712993,morning,2.0
559,site1,257.5322111133447,morning,3.0
560,site1,254.43949036846908,morning,3.0
561,site1,243.50157671887902,morning,2.0
562,site1,244.58243065584378,morning,2.0
563,site1,241.3704544317038,morning,2.0
564,site1,236.99137274876588,morning,2.0
565,site1,338.22503400303157,morning,4.0
566,site1,260.991328786499,morning,3.0
567,site1,247.48849847477456,morning,2.0
568,site1,254.1225293601082,morning,3.0
569,site1,248.25996545745306,morning,2.0
570,site1,242.2353218439955,morning,2.0
571,site1,240.066060889947,morning,2.0
572,site1,249.11448062330766,morning,2.0
573,site1,255.06703107360872,morning,3.0
574,site1,335.6200047794503,morning,4.0
575,site1,258.47919515360843,morning,3.0
576,site1,243.27600896329622,morning,2.0
577,site1,245.26373233345066,morning,2.0
578,site1,241.84724823926211,morning,2.0
579,site1,258.5492425899734,morning,3.0
580,site1,250.86970303008422,morning,3.0
581,site1,238.8369508542136,morning,2.0
582,site1,255.17629554014593,morning,3.0
583,site1,248.3985177574381,morning,2.0
584,site1,247.74197115159973,morning,2.0
585,site1,241.17683024442263,morning,2.0
586,site1,251.37373256993527,morning,3.0
587,site1,242.04290046330507,morning,2.0
588,site1,249.7517839492186,morning,3.0
589,site1,235.28532463807917,morning,2.0
590,site1,236.6915728587513,morning,2.0
591,site1,334.7297774424905,morning,4.0
592,site1,250.78017060637976,morning,3.0
593,site1,255.76902235798485,morning,3.0
594,site1,339.3924582671411,morning,4.0
595,site1,246.10814687331904,morning,2.0
596,site1,251.25600001037847,morning,3.0
597,site1,238.57303315806564,morning,2.0
598,site1,260.9278773436199,morning,3.0
599,site1,250.87176532795903,morning,3.0
600,site1,337.97711056476413,morning,4.0
601,site1,256.2768914219793,morning,3.0
602,site1,253.51676990472527,morning,3.0
603,site1,245.115893672737,morning,2.0
604,site1,332.9927689844169,morning,4.0
605,site1,339.6939598895021,morning,4.0
606,site1,236.22537023359087,morning,2.0
607,site1,333.1434904087001,morning,4.0
608,site1,241.40851544024702,morning,2.0
609,site1,252.0693483333797,morning,3.0
610,site1,252.3121824430462,morning,3.0
611,site1,244.67996298040822,morning,2.0
612,site1,247.63966620269187,morning,2.0
613,site1,257.6475276311609,morning,3.0
614,site1,339.49608933911566,morning,4.0
615,site1,237.62285104681874,morning,2.0
616,site1,333.63852509795356,morning,4.0
617,site1,249.59980817264935,morning,3.0
618,site1,245.4609125708253,morning,2.0
619,site1,259.34596021701964,morning,3.0
620,site1,249.84321911138187,morning,3.0
621,site1,240.4739050979172,morning,2.0
622,site1,247.76370631202167,morning,2.0
623,site1,248.44099903554567,morning,2.0
624,site1,242.01286300754563,morning,2.0
625,site1,243.83326704953978,morning,2.0
626,site1,252.8832868599703,morning,3.0
627,site1,244.93244116913687,morning,2.0
628,site1,249.31342707903218,morning,3.0
629,site1,255.43573464331334,morning,3.0
630,site1,230.583537495813,morning,2.0
631,site1,257.7793518757348,morning,3.0
632,site1,247.3675520513057,morning,2.0
633,site1,260.4688744257478,morning,3.0
634,site1,239.0180645690554,morning,2.0
635,site1,259.8742971262369,morning,3.0
636,site1,253.22131707315276,morning,3.0
637,site1,247.94284990320105,morning,2.0
638,site1,246.13800618877585,morning,2.0
639,site1,257.66880463372536,morning,3.0
640,site1,241.51981169219468,morning,2.0
641,site1,239.4619064478168,morning,2.0
642,site1,249.41005510706188,morning,3.0
643,site1,246.82046364938395,morning,2.0
644,site1,332.74994600266837,morning,4.0
645,site1,243.82342262123137,morning,2.0
646,site1,333.67244757925096,morning,4.0
647,site1,338.41650826378907,morning,4.0
648,site1,237.9638407101389,morning,2.0
649,site1,257.1854559552562,morning,3.0
650,site1,252.1142373539322,morning,3.0
651,site1,245.9703628499958,morning,2.0
652,site1,333.5924353866927,morning,4.0
653,site1,253.2681662472623,morning,3.0
654,site1,254.6096890366344,morning,3.0
655,site1,257.9766560360038,morning,3.0
656,site1,255.3453655977049,morning,3.0
657,site1,246.12210599860762,morning,2.0
658,site1,243.5509661282367,morning,2.0
659,site1,246.18375588257422,morning,2.0
660,site1,250.43607232394186,morning,3.0
661,site1,244.72567206244005,morning,2.0
662,site1,252.26595776674003,morning,3.0
663,site1,242.70736005001612,morning,2.0
664,site1,252.4765366086222,morning,3.0
665,site1,239.4301300459178,morning,2.0
666,site1,241.9569239407123,morning,2.0
667,site1,244.93653262698962,morning,2.0
668,site1,251.73428443197162,morning,3.0
669,site1,252.3474517878752,morning,3.0
670,site1,257.9286560298669,morning,3.0
671,site1,240.3846769181949,morning,2.0
672,site1,248.72122257815874,morning,2.0
673,site1,259.7864610599345,morning,3.0
674,site1,249.26906229700282,morning,2.0
675,site1,339.472540592464,morning,4.0
676,site1,230.6246586146213,morning,2.0
677,site1,253.36654736810218,morning,3.0
678,site1,257.04975421939855,morning,3.0
679,site1,243.0176320161745,morning,2.0
680,site1,256.83212843495744,morning,3.0
681,site1,242.17940585898958,morning,2.0
682,site1,241.5879730502495,morning,2.0
683,site1,250.77094409040674,morning,3.0
684,site1,239.7230834125928,morning,2.0
685,site1,247.85433485629162,morning,2.0
686,site1,246.3198216540657,morning,2.0
687,site1,242.5020515467371,morning,2.0
688,site1,241.12529013372128,morning,2.0
689,site1,256.0670937612162,morning,3.0
690,site1,257.4819558660336,morning,3.0
691,site1,240.0503097003216,morning,2.0
692,site1,260.779452378517,morning,3.0
693,site1,334.5498662666209,morning,4.0
694,site1,246.20130125031125,morning,2.0
695,site1,248.35412085197086,morning,2.0
696,site1,250.11536109481392,morning,3.0
697,site1,244.89334834904224,morning,2.0
698,site1,242.2809131889806,morning,2.0
699,site1,257.5415042941287,morning,3.0
